,id,image_name,rep,height_pixels,width_pixels
0,2013-Tx7000,1. P1-WOF-Fr.jpg,1,2237.037037037037,651.8518518518517
1,2013-Tx7000,13. P4-WOF-Fr.jpg,2,2251.8518518518517,862.9629629629626
2,2013-Tx7000,5. P2-WOF-Fr.jpg,3,2188.8888888888887,759.2592592592591
3,2013-Tx7000,9. P3-WOF-Fr.jpg,4,2148.1481481481483,751.8518518518517
4,2005-SC964,1. P1-WOF-Fr.jpg,1,1748.1481481481492,670.3703703703704
5,2005-SC964,13. P4-WOF-Fr.jpg,2,1881.4814814814813,700.0
6,2005-SC964,5. P2-WOF-Fr.jpg,3,1737.037037037037,655.5555555555557
7,2005-SC964,9. P3-WOF-Fr.jpg,4,1970.37037037037,555.5555555555557
8,2009-RTx430BL,1. P1-WOF-Fr.jpg,1,2414.8148148148143,548.1481481481478
9,2009-RTx430BL,13. P4-WOF-Fr.jpg,2,2166.6666666666665,414.8148148148148
10,2009-RTx430BL,5. P2-WOF-Fr.jpg,3,2207.4074074074074,492.5925925925926
11,2009-RTx430BL,9. P3-WOF-Fr.jpg,4,2062.9629629629626,411.11111111111086
